Student ID,Total Attendance,Last Attendance Time
2023UGCS012,0,2025-04-23 23:41:07
2023UGCS026,1,2025-04-25 09:16:54
2023ugcs030,5,2025-04-25 09:10:47
2023UGCS031,1,2025-04-24 17:32:40
2023UGCS034,0,2025-04-23 23:41:07
2023ugcs043,0,2025-04-23 23:41:07
2023UGCS054,12,2025-04-25 09:02:41
2023ugcs118,6,2025-04-24 17:32:38
2023ugcs1000,1,2025-04-25 09:16:51
